projet_id,secteur_site_id,secteur_site_libelle,id_quadrat,ex_id,annee_modif
cnm,moa_costieres_est,MOA / Costières Est,4DG28,,
cnm,moa_costieres_est,MOA / Costières Est,4DG9,,
cnm,moa_costieres_est,MOA / Costières Est,4DH13,,
cnm,moa_costieres_est,MOA / Costières Est,4DK15,,
cnm,moa_costieres_est,MOA / Costières Est,4DK9,,
cnm,moa_costieres_est,MOA / Costières Est,4DL13,,
cnm,moa_costieres_est,MOA / Costières Est,4DL23,,
cnm,moa_costieres_est,MOA / Costières Est,4DL42,,
cnm,moa_costieres_est,MOA / Costières Est,4DM36,,
cnm,moa_costieres_est,MOA / Costières Est,4DN15,,
cnm,moa_costieres_est,MOA / Costières Est,4DP32,,
cnm,moa_costieres_est,MOA / Costières Est,4DS19,,
cnm,moa_costieres_est,MOA / Costières Est,4DT26,,
cnm,moa_costieres_est,MOA / Costières Est,4DU21,,
cnm,moa_costieres_est,MOA / Costières Est,4DX44,,
cnm,moa_costieres_est,MOA / Costières Est,4DZ42,,
cnm,moa_costieres_est,MOA / Costières Est,4EA23,,
cnm,moa_costieres_est,MOA / Costières Est,4EA42,,
cnm,moa_costieres_est,MOA / Costières Est,4EC22,,
cnm,moa_costieres_est,MOA / Costières Est,4ED24,,
cnm,moa_costieres_est,MOA / Costières Est,4ED28,,
cnm,moa_costieres_est,MOA / Costières Est,4EJ31,,
cnm,moa_costieres_est,MOA / Costières Est,4EL17,,
cnm,moa_costieres_est,MOA / Costières Est,4ET15,,
cnm,moa_costieres_est,MOA / Costières Est,4EX12,,
cnm_jonctions,costieres_est,Costières Est,4CQ6,,
cnm_jonctions,plaine_lattes,Plaine / Lattes,LAT_1,,
cnm_jonctions,plaine_lattes,Plaine / Lattes,LAT_2,,
gare_npdg,costieres,Costières,mlo111,,
gare_npdg,costieres,Costières,mlo129,,
gare_npdg,costieres,Costières,mlo135,,
gare_npdg,costieres,Costières,mlo136,,
gare_npdg,costieres,Costières,mlo14,,
gare_npdg,costieres,Costières,mlo140,,
gare_npdg,costieres,Costières,mlo164,,
gare_npdg,costieres,Costières,mlo165,,
gare_npdg,costieres,Costières,mlo22,,
gare_npdg,costieres,Costières,mlo26,,
gare_npdg,costieres,Costières,mlo29,,
gare_npdg,costieres,Costières,mlo35,,
gare_npdg,costieres,Costières,mlo42,,
gare_npdg,costieres,Costières,mlo73,,
gare_npdg,costieres,Costières,mlot1,,
gare_npdg,costieres,Costières,mlot10,,
gare_npdg,costieres,Costières,mlot11,,
gare_npdg,costieres,Costières,mlot12,,
gare_npdg,costieres,Costières,mlot13,,
gare_npdg,costieres,Costières,mlot14,,
gare_npdg,costieres,Costières,mlot2,,
gare_npdg,costieres,Costières,mlot3,,
gare_npdg,costieres,Costières,mlot4,,
gare_npdg,costieres,Costières,mlot5,,
gare_npdg,costieres,Costières,mlot6,,
gare_npdg,costieres,Costières,mlot7,,
gare_npdg,costieres,Costières,mlot8,,
gare_npdg,costieres,Costières,mlot9,,
lotissement_saliniers,murviel_pioch_rouqier,Murviel / Pioch Rouqier,41,,
lotissement_saliniers,murviel_pioch_rouqier,Murviel / Pioch Rouqier,54,,
lotissement_saliniers,murviel_pioch_rouqier,Murviel / Pioch Rouqier,67,,
lotissement_saliniers,murviel_pioch_rouqier,Murviel / Pioch Rouqier,80,,
lotissement_saliniers,murviel_pioch_rouqier,Murviel / Pioch Rouqier,89,,
lotissement_saliniers,murviel_pioch_rouqier,Murviel / Pioch Rouqier,90,,
